technique_id,rec_id
T1595,rect1
T1592,rect2
T1589,rect3
T1590,rect4
T1591,rect5
T1598,rect6
T1597,rect7
T1596,rect8
T1593,rect9
T1594,rect10
T1583,rect11
T1586,rect12
T1584,rect13
T1587,rect14
T1585,rect15
T1588,rect16
T1608,rect17
T1189,rect18
T1190,rect19
T1133,rect20
T1200,rect21
T1566,rect22
T1091,rect23
T1195,rect24
T1199,rect25
T1078,rect26
T1059,rect27
T1609,rect28
T1610,rect29
T1203,rect30
T1559,rect31
T1106,rect32
T1053,rect33
T1648,rect34
T1129,rect35
T1072,rect36
T1569,rect37
T1204,rect38
T1047,rect39
T1098,rect40
T1197,rect41
T1547,rect42
T1037,rect43
T1176,rect44
T1554,rect45
T1136,rect46
T1543,rect47
T1546,rect48
T1133,rect49
T1574,rect50
T1525,rect51
T1556,rect52
T1137,rect53
T1542,rect54
T1053,rect55
T1505,rect56
T1205,rect57
T1078,rect58
T1548,rect59
T1134,rect60
T1547,rect61
T1037,rect62
T1543,rect63
T1484,rect64
T1611,rect65
T1546,rect66
T1068,rect67
T1574,rect68
T1055,rect69
T1053,rect70
T1078,rect71
T1548,rect72
T1134,rect73
T1197,rect74
T1612,rect75
T1622,rect76
T1140,rect77
T1610,rect78
T1006,rect79
T1484,rect80
T1480,rect81
T1211,rect82
T1222,rect83
T1564,rect84
T1574,rect85
T1562,rect86
T1070,rect87
T1202,rect88
T1036,rect89
T1556,rect90
T1578,rect91
T1112,rect92
T1601,rect93
T1599,rect94
T1027,rect95
T1647,rect96
T1542,rect97
T1055,rect98
T1620,rect99
T1207,rect100
T1014,rect101
T1553,rect102
T1218,rect103
T1216,rect104
T1221,rect105
T1205,rect106
T1127,rect107
T1535,rect108
T1550,rect109
T1078,rect110
T1497,rect111
T1600,rect112
T1220,rect113
T1557,rect114
T1110,rect115
T1555,rect116
T1212,rect117
T1187,rect118
T1606,rect119
T1056,rect120
T1556,rect121
T1111,rect122
T1621,rect123
T1040,rect124
T1003,rect125
T1528,rect126
T1649,rect127
T1558,rect128
T1539,rect129
T1552,rect130
T1087,rect131
T1010,rect132
T1217,rect133
T1580,rect134
T1538,rect135
T1526,rect136
T1619,rect137
T1613,rect138
T1622,rect139
T1482,rect140
T1083,rect141
T1615,rect142
T1046,rect143
T1135,rect144
T1040,rect145
T1201,rect146
T1120,rect147
T1069,rect148
T1057,rect149
T1012,rect150
T1018,rect151
T1518,rect152
T1082,rect153
T1614,rect154
T1016,rect155
T1049,rect156
T1033,rect157
T1007,rect158
T1124,rect159
T1497,rect160
T1210,rect161
T1534,rect162
T1570,rect163
T1563,rect164
T1021,rect165
T1091,rect166
T1072,rect167
T1080,rect168
T1550,rect169
T1557,rect170
T1560,rect171
T1123,rect172
T1119,rect173
T1185,rect174
T1115,rect175
T1530,rect176
T1602,rect177
T1213,rect178
T1005,rect179
T1039,rect180
T1025,rect181
T1074,rect182
T1114,rect183
T1056,rect184
T1113,rect185
T1125,rect186
T1071,rect187
T1092,rect188
T1132,rect189
T1001,rect190
T1568,rect191
T1573,rect192
T1008,rect193
T1105,rect194
T1104,rect195
T1095,rect196
T1571,rect197
T1572,rect198
T1090,rect199
T1219,rect200
T1205,rect201
T1102,rect202
T1020,rect203
T1030,rect204
T1048,rect205
T1041,rect206
T1011,rect207
T1052,rect208
T1567,rect209
T1029,rect210
T1537,rect211
T1531,rect212
T1485,rect213
T1486,rect214
T1565,rect215
T1491,rect216
T1561,rect217
T1499,rect218
T1495,rect219
T1490,rect220
T1498,rect221
T1496,rect222
T1489,rect223
T1529,rect224
